0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:02 +0900] "GET /ykjkApp/product/productList.do?bName=YOU%EB%AA%85&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35675
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:03 +0900] "GET /ykjkApp/product/productList.do?bName=%EC%97%90%EC%9D%B4%EC%B9%98%EC%A4%80&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35695
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:05 +0900] "GET /ykjkApp/product/productList.do?bName=%EC%A0%9C%EC%9D%B4%ED%98%84&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35676
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:08 +0900] "GET /ykjkApp/product/productList.do?bName=YK&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35654
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:09 +0900] "GET /ykjkApp/product/productDetail.do?product_no=5&pType=1 HTTP/1.1" 200 52991
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:09 +0900] "GET /ykjkApp/resources/images/productImgUpload/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:09 +0900] "GET /ykjkApp/resources/images/productImgUpload/34-2.jpg HTTP/1.1" 200 51310
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:09 +0900] "GET /ykjkApp/resources/images/productImgUpload/34-3.jpg HTTP/1.1" 200 43154
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:09 +0900] "GET /ykjkApp/resources/images/productImgUpload/34-4.jpg HTTP/1.1" 200 41704
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:16 +0900] "GET /ykjkApp/ HTTP/1.1" 200 30773
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:16 +0900] "GET /ykjkApp/resources/images/main_video_b.mp4 HTTP/1.1" 206 32768
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:16 +0900] "POST /ykjkApp/product/selectProductImages.do HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:20 +0900] "GET /ykjkApp/product/productList.do?bName=%EC%97%90%EC%9D%B4%EC%B9%98%EC%A4%80&pType=1&categoryNo=0&sortVal= HTTP/1.1" 200 35695
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:21 +0900] "GET /ykjkApp/product/productDetail.do?product_no=2&pType=1 HTTP/1.1" 200 51189
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:21 +0900] "GET /ykjkApp/resources/images/productImgUpload/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:21 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-3.jpg HTTP/1.1" 200 152236
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:21 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-4.jpg HTTP/1.1" 200 141489
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:37:21 +0900] "GET /ykjkApp/resources/images/productImgUpload/31-2.jpg HTTP/1.1" 200 136665
0:0:0:0:0:0:0:1 - - [29/Jan/2023:22:38:21 +0900] "GET /ykjkApp/product/productList.do?pType=1 HTTP/1.1" 200 45357
